450	108
450.5	85
451	170
451.5	62
452	127
452.5	77
453	78
453.5	90
454	48
454.5	117
455	77
455.5	64
456	33
456.5	87
457	60
457.5	44
458	54
458.5	104
459	39
459.5	134
460	71
460.5	112
461	37
461.5	87
462	81
462.5	114
463	87
463.5	95
464	88
464.5	105
465	58
465.5	106
466	83
466.5	94
467	120
467.5	60
468	87
468.5	167
469	117
469.5	71
470	46
470.5	132
471	43
471.5	72
472	171
472.5	23
473	124
473.5	115
474	57
474.5	107
475	48
475.5	117
476	52
476.5	52
477	93
477.5	70
478	136
478.5	45
479	42
479.5	81
480	131
480.5	46
481	54
481.5	94
482	41
482.5	60
483	90
483.5	95
484	79
484.5	150
485	40
485.5	103
486	90
486.5	33
487	157
487.5	98
488	136
488.5	112
489	81
489.5	120
490	143
490.5	113
491	196
491.5	112
492	81
492.5	97
493	121
493.5	86
494	101
494.5	55
495	83
495.5	66
496	206
496.5	107
497	59
497.5	160
498	145
498.5	81
499	148
499.5	137
500	49
500.5	87
501	58
501.5	78
502	164
502.5	97
503	71
503.5	37
504	137
504.5	119
505	73
505.5	67
506	29
506.5	74
507	165
507.5	44
508	127
508.5	53
509	99
509.5	60
510	75
510.5	95
511	121
511.5	62
512	111
512.5	75
513	104
513.5	86
514	98
514.5	87
515	85
515.5	92
516	94
516.5	51
517	73
517.5	60
518	44
518.5	68
519	137
519.5	89
520	137
520.5	73
521	45
521.5	82
522	41
522.5	101
523	96
523.5	101
524	126
524.5	131
525	73
525.5	82
526	64
526.5	98
527	77
527.5	88
528	102
528.5	173
529	59
529.5	36
530	114
530.5	98
531	120
531.5	157
532	114
532.5	107
533	122
533.5	163
534	105
534.5	187
535	70
535.5	86
536	82
536.5	203
537	50
537.5	110
538	103
538.5	78
539	135
539.5	70
540	193
540.5	177
541	165
541.5	213
542	281
542.5	330
543	317
543.5	366
544	190
544.5	303
545	349
545.5	280
546	985
546.5	187
547	141
547.5	156
548	194
548.5	561
549	380
549.5	378
550	485
550.5	385
551	490
551.5	436
552	683
552.5	651
553	770
553.5	831
554	1437
554.5	1869
555	1666
555.5	2012
556	2100
556.5	2865
557	2734
557.5	3041
558	3183
558.5	3670
559	4276
559.5	4742
560	5883
560.5	6441
561	7650
561.5	9539
562	10516
562.5	10893
563	11379
563.5	10797
564	9517
564.5	9152
565	8326
565.5	7573
566	7479
566.5	7394
567	7427
567.5	6838
568	6968
568.5	6781
569	6773
569.5	6145
570	5197
570.5	4759
571	4161
571.5	3659
572	3333
572.5	2978
573	2423
573.5	1976
574	2156
574.5	1809
575	1476
575.5	1804
576	1508
576.5	1505
577	1310
577.5	1230
578	1113
578.5	944
579	1256
579.5	1313
580	1084
580.5	1025
581	1533
581.5	1346
582	1178
582.5	1458
583	1693
583.5	1640
584	1951
584.5	1881
585	2058
585.5	2123
586	2295
586.5	2545
587	2666
587.5	3003
588	3234
588.5	3379
589	3734
589.5	3925
590	4354
590.5	5003
591	5376
591.5	5925
592	6650
592.5	7554
593	7871
593.5	8922
594	9625
594.5	10919
595	12367
595.5	13430
596	15676
596.5	18846
597	22755
597.5	26282
598	31059
598.5	33077
599	34246
599.5	31957
600	30740
600.5	27584
601	25254
601.5	23964
602	22471
602.5	22250
603	21469
603.5	21134
604	21376
604.5	21192
605	19776
605.5	20584
606	19930
606.5	19641
607	18443
607.5	18325
608	16980
608.5	17886
609	15909
609.5	15477
610	15009
610.5	13534
611	13104
611.5	12136
612	10457
612.5	9508
613	8444
613.5	7494
614	6856
614.5	6004
615	4928
615.5	4331
616	3981
616.5	3321
617	3141
617.5	2246
618	2106
618.5	2086
619	2046
619.5	1500
620	1397
620.5	1070
621	1234
621.5	1179
622	955
622.5	1182
623	713
623.5	901
624	948
624.5	1031
625	1053
625.5	1082
626	924
626.5	1054
627	1185
627.5	1049
628	1008
628.5	1418
629	1538
629.5	1520
630	1755
630.5	1921
631	1996
631.5	2082
632	2627
632.5	2638
633	2980
633.5	3208
634	3447
634.5	3375
635	4574
635.5	4292
636	4883
636.5	5293
637	5962
637.5	6506
638	6960
638.5	7577
639	8263
639.5	8943
640	9664
640.5	11081
641	11006
641.5	12407
642	13872
642.5	14808
643	16208
643.5	18153
644	21449
644.5	23005
645	24005
645.5	25097
646	25232
646.5	24237
647	23131
