450	174
450.5	107
451	198
451.5	325
452	264
452.5	250
453	295
453.5	297
454	326
454.5	245
455	222
455.5	227
456	226
456.5	184
457	128
457.5	151
458	365
458.5	248
459	348
459.5	302
460	169
460.5	192
461	298
461.5	134
462	166
462.5	240
463	167
463.5	350
464	222
464.5	326
465	142
465.5	154
466	206
466.5	282
467	280
467.5	183
468	208
468.5	219
469	374
469.5	307
470	250
470.5	198
471	183
471.5	230
472	144
472.5	247
473	236
473.5	193
474	175
474.5	108
475	213
475.5	228
476	114
476.5	132
477	183
477.5	168
478	135
478.5	270
479	197
479.5	134
480	173
480.5	240
481	176
481.5	267
482	159
482.5	161
483	242
483.5	178
484	209
484.5	234
485	220
485.5	358
486	187
486.5	153
487	178
487.5	112
488	202
488.5	254
489	196
489.5	307
490	236
490.5	195
491	300
491.5	137
492	151
492.5	250
493	241
493.5	246
494	176
494.5	174
495	172
495.5	172
496	183
496.5	73
497	134
497.5	228
498	176
498.5	296
499	241
499.5	127
500	166
500.5	120
501	265
501.5	236
502	184
502.5	335
503	208
503.5	296
504	196
504.5	167
505	224
505.5	246
506	219
506.5	305
507	210
507.5	246
508	161
508.5	257
509	197
509.5	140
510	231
510.5	381
511	219
511.5	258
512	268
512.5	294
513	268
513.5	236
514	325
514.5	411
515	134
515.5	293
516	205
516.5	207
517	165
517.5	153
518	253
518.5	360
519	185
519.5	287
520	282
520.5	157
521	213
521.5	298
522	164
522.5	165
523	132
523.5	128
524	115
524.5	173
525	163
525.5	283
526	262
526.5	271
527	151
527.5	209
528	373
528.5	216
529	290
529.5	178
530	280
530.5	235
531	283
531.5	239
532	231
532.5	155
533	168
533.5	218
534	286
534.5	254
535	265
535.5	309
536	202
536.5	288
537	270
537.5	216
538	233
538.5	198
539	106
539.5	281
540	235
540.5	254
541	275
541.5	265
542	449
542.5	335
543	383
543.5	420
544	310
544.5	343
545	324
545.5	324
546	758
546.5	321
547	384
547.5	319
548	399
548.5	334
549	545
549.5	574
550	651
550.5	790
551	780
551.5	768
552	824
552.5	1205
553	1114
553.5	1261
554	1557
554.5	1834
555	2138
555.5	2495
556	2642
556.5	3042
557	3651
557.5	3805
558	4901
558.5	4623
559	5403
559.5	5546
560	6713
560.5	7672
561	9313
561.5	11938
562	12165
562.5	13516
563	13943
563.5	13295
564	11926
564.5	10601
565	9980
565.5	8955
566	8946
566.5	8551
567	8918
567.5	8681
568	8273
568.5	7713
569	7829
569.5	7251
570	6188
570.5	5927
571	5730
571.5	4812
572	3713
572.5	3511
573	3041
573.5	3065
574	2661
574.5	2268
575	2354
575.5	2243
576	1893
576.5	2110
577	1656
577.5	1521
578	1910
578.5	1499
579	1357
579.5	1423
580	1377
580.5	1523
581	1685
581.5	1713
582	1702
582.5	1977
583	2161
583.5	2326
584	2178
584.5	2480
585	2783
585.5	2538
586	3171
586.5	2878
587	3339
587.5	3431
588	4460
588.5	4400
589	4550
589.5	5144
590	5698
590.5	6030
591	6700
591.5	7417
592	8215
592.5	8826
593	10363
593.5	10691
594	12193
594.5	13586
595	15475
595.5	17283
596	19396
596.5	22253
597	28062
597.5	33920
598	36947
598.5	40711
599	40314
599.5	38833
600	36671
600.5	33809
601	31031
601.5	28866
602	27695
602.5	26751
603	25730
603.5	25511
604	25818
604.5	25271
605	25262
605.5	24701
606	23747
606.5	22673
607	22938
607.5	22325
608	20913
608.5	20723
609	19429
609.5	18368
610	18326
610.5	15891
611	16062
611.5	14320
612	12842
612.5	11687
613	10316
613.5	9271
614	7943
614.5	7025
615	6153
615.5	5539
616	5305
616.5	4009
617	3490
617.5	3404
618	2648
618.5	2406
619	2264
619.5	1850
620	1585
620.5	1657
621	1282
621.5	1422
622	1364
622.5	1310
623	1213
623.5	1072
624	1158
624.5	1043
625	1125
625.5	1107
626	1375
626.5	1156
627	1582
627.5	1449
628	1809
628.5	1756
629	1864
629.5	2002
630	2427
630.5	2385
631	2586
631.5	2910
632	2901
632.5	3394
633	3456
633.5	3901
634	4236
634.5	4925
635	4824
635.5	5468
636	6017
636.5	7211
637	7346
637.5	8137
638	9284
638.5	9974
639	10479
639.5	11637
640	13079
640.5	13084
641	14128
641.5	15650
642	16867
642.5	19514
643	20376
643.5	23431
644	25707
644.5	28544
645	29819
645.5	30093
646	30304
646.5	30519
647	27434
647.5	26715
648	24764
648.5	23769
649	22071
649.5	19221
